research_id,priority,theme,source_type,source_title,authors,year,source_url,local_feature_module,required_local_inputs,blocked_external_inputs,implementation_status,validation_gate,promotion_rule,korea_market_note,next_step,external_api_requested,order_status,broker_order_requested
KR_FACTOR_MOMENTUM_LIQUIDITY,P0,Korea momentum and liquidity,paper,Market Liquidity and Momentum Profits Evidence from the Korean Stock Market,Changjun Lee; Changha Kim,2018,https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002410884,panic_rebound_signal; trend_forecast,data/prices.csv; reports/market_regime/market_regime.csv,real-time order book; broker order flow,RESEARCH_BACKLOG,walk-forward by market regime and liquidity bucket,Promote only if Korea-market directional accuracy improves without higher drawdown,Korea momentum can differ from US momentum and may include reversal after crowded attention,Define liquidity-adjusted momentum/rebound features,NO,NO_ORDER,NO
KR_FACTOR_MULTI_FACTOR,P0,Korea multi-factor investing,paper,Enhanced factor investing in the Korean stock market,Joonghyuk Kim et al.,2021,https://www.sciencedirect.com/science/article/pii/S0927538X21000652,factor_score,configs/fundamentals.actual.csv; data/prices.csv; configs/research_universe.actual.csv,bulk OpenDART refresh unless approved,RESEARCH_BACKLOG,sector-neutral walk-forward rank spread,Promote only if combined factor score beats standalone trend score,Korea long-only implementation matters because shorting is constrained,Create factor_score with size value momentum profitability low-risk,NO,NO_ORDER,NO
KR_FACTOR_PARSIMONIOUS,P0,Korea pricing factors,paper,Potential pricing factors in the Korean market,Kim et al.,2024,https://www.sciencedirect.com/science/article/pii/S1544612324009760,fundamental_quality_score; earnings_quality_score,configs/fundamentals.actual.csv; data/prices.csv,OpenDART missing fundamentals until approved,RESEARCH_BACKLOG,walk-forward factor contribution and false-discovery review,Use only factors that survive local Korea data and missing-data penalties,Gross profitability percent accruals and long-term momentum are Korea-specific candidates,Map gross profitability accruals and long-term momentum fields,NO,NO_ORDER,NO
PIOTROSKI_F_SCORE,P0,Value quality,paper,Value Investing The Use of Historical Financial Statement Information to Separate Winners from Losers,Joseph D Piotroski,2000,https://ideas.repec.org/a/bla/joares/v38y2000ip1-41.html,fundamental_quality_score,configs/fundamentals.actual.csv; configs/shares_outstanding.actual.csv,OpenDART fetch unless approved,RESEARCH_BACKLOG,high-minus-low F-score forward return by valuation bucket,Promote as quality gate only after missing-field coverage is acceptable,Most useful for low-PBR candidates and distress avoidance,Implement Piotroski-like binary quality score with UNKNOWN handling,NO,NO_ORDER,NO
NOVY_MARX_PROFITABILITY,P0,Profitability quality,paper,The Other Side of Value The Gross Profitability Premium,Robert Novy-Marx,2013,https://cir.nii.ac.jp/crid/1360574093756118528,profitability_factor,configs/fundamentals.actual.csv,OpenDART missing accounts until approved,RESEARCH_BACKLOG,sector percentile and forward-return spread,Promote if profitability improves valuation score without chasing expensive names,Korea evidence suggests gross profitability may matter,Add gross_profit_to_assets and sector percentile when account fields exist,NO,NO_ORDER,NO
SLOAN_ACCRUALS,P0,Earnings quality,paper,Do Stock Prices Fully Reflect Information in Accruals and Cash Flows About Future Earnings,Richard G Sloan,1996,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2598,earnings_quality_score,configs/fundamentals.actual.csv; cash-flow statement fields,OpenDART/XBRL field refresh unless approved,RESEARCH_BACKLOG,accrual decile forward-return and risk-gate test,Use primarily as risk penalty for weak cash conversion,Accrual fields may be sparse in local Korean statements,Add accrual_risk_gate after cash-flow statement coverage audit,NO,NO_ORDER,NO
GU_KELLY_XIU_ML,P1,Machine-learning asset pricing,paper,Empirical Asset Pricing via Machine Learning,Gu; Kelly; Xiu,2020,https://academic.oup.com/rfs/article/33/5/2223/5758276,model_comparison,features; reports/learning_feedback,external ML dependencies unless approved,RESEARCH_BACKLOG,walk-forward out-of-sample directional accuracy and MAE,Promote nonlinear model only if it beats ridge after overfit penalty,Use as model architecture guidance not as direct import of US factors,Add candidate model comparison report before installing dependencies,NO,NO_ORDER,NO
LOPEZ_DE_PRADO_AFML,P1,Financial ML process,book,Advances in Financial Machine Learning,Marcos Lopez de Prado,2018,https://www.oreilly.com/library/view/advances-in-financial/9781119482086/,model_validation,features; reports/learning_feedback,private data; broker flow; dependency installs unless approved,RESEARCH_BACKLOG,triple-barrier and meta-labeling evaluation only,Promote only after labels improve realized decision quality,Useful for labeling and overfit control rather than immediate alpha,Design triple-barrier labeling experiment for local prices,NO,NO_ORDER,NO
LOPEZ_DE_PRADO_FAILS,P1,Financial ML risk control,paper,The 10 Reasons Most Machine Learning Funds Fail,Marcos Lopez de Prado,2018,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3104816,model_promotion_gate,reports/learning_feedback,none,RESEARCH_BACKLOG,model promotion checklist and leakage audit,Block model promotion when evidence is small or overfit risk is high,Directly supports current learning feedback guardrails,Add promotion checklist to learning_feedback summary,NO,NO_ORDER,NO
HARVEY_LIU_ZHU_FALSE_FACTORS,P1,False discovery control,paper,... and the Cross-Section of Expected Returns,Harvey; Liu; Zhu,2016,https://academic.oup.com/rfs/article/29/1/5/1843824,feature_overfit_penalty,feature experiment results; reports/learning_feedback,none,RESEARCH_BACKLOG,false-discovery and multiple-testing notes for every new factor,Do not add many weak factors without penalty,Important because factor mining can overfit small Korea samples,Add feature count and trial count penalty to model promotion,NO,NO_ORDER,NO
BAILEY_BACKTEST_OVERFIT,P1,Backtest overfitting,paper,Pseudo-Mathematics and Financial Charlatanism The Effects of Backtest Overfitting on Out-of-Sample Performance,Bailey; Borwein; Lopez de Prado; Zhu,2014,https://www.ams.org/journals/notices/201405/rnoti-p458.pdf,walk_forward_validation,backtest outputs; reports/learning_feedback,none,RESEARCH_BACKLOG,probability-of-overfit style warning when many variants are tried,Reject strategies chosen only from best historical run,Korea full-universe tests need strict out-of-sample handling,Track experiment count and out-of-sample split in reports,NO,NO_ORDER,NO
GRINOLD_KAHN_ACTIVE_PM,P2,Portfolio construction,book,Active Portfolio Management,Richard Grinold; Ronald Kahn,1999,https://books.google.com/books?id=aSDkFQtysy8C,capital_plan_review; order_sizer,reports/pre_buy_decision; reports/orders,broker execution,RESEARCH_BACKLOG,information ratio and risk budget review,Use for sizing review only after manual gates pass,Helps translate score strength into controlled capital exposure,Add expected edge confidence bucket to sizing review,NO,NO_ORDER,NO
ILMANEN_EXPECTED_RETURNS,P2,Macro expected returns,book,Expected Returns An Investors Guide to Harvesting Market Rewards,Antti Ilmanen,2011,https://www.wiley-vch.de/en/areas-interest/finance-economics-law/expected-returns-978-1-119-99072-7,market_regime; macro_context,market_regime.csv; public macro data only after approval,macro data refresh unless approved,RESEARCH_BACKLOG,market-regime conditional performance review,Use as regime context not one-stock buy trigger,Korea risk-on/off filters can be improved with macro context,Design local macro_context placeholder with DATA_REQUIRED fields,NO,NO_ORDER,NO
HARRIS_MICROSTRUCTURE,P2,Market microstructure,book,Trading and Exchanges Market Microstructure for Practitioners,Larry Harris,2002,https://academic.oup.com/book/52292,entry_signal_watch; loss_rule_review,data/prices.csv; volume fields when available,real-time depth and broker flow,RESEARCH_BACKLOG,slippage and gap-risk review,Use to avoid chase entries and thin-liquidity traps,Korea small caps can have severe liquidity and gap risk,Add liquidity/slippage penalty to entry review when volume data exists,NO,NO_ORDER,NO
