program_id,priority,program_category,public_reference,source_url,institutional_capability,our_current_coverage,local_apply_module,required_local_inputs,blocked_capabilities,implementation_status,validation_gate,next_step,external_api_requested,order_status,broker_order_requested
DATA_RESEARCH_TERMINAL,P1,Market data and research terminal,Bloomberg Terminal,https://www.bloomberg.com/professional/products/bloomberg-terminal/,Integrated market data news research analytics and workflow context,PARTIAL: dashboard status candidate boards local cached prices,operator_terminal_view,reports/dashboard/index.html; reports/operating_status/operating_status.csv; data/prices.csv,real-time paid data terminal; paid news redistribution; broker chat,RESEARCH_BACKLOG,operator can see market state candidate risk and evidence age in one view,Add stale-evidence panel and source freshness summary to dashboard,NO,NO_ORDER,NO
WHOLE_PORTFOLIO_RISK_PLATFORM,P0,Portfolio and risk platform,BlackRock Aladdin,https://www.blackrock.com/aladdin,Portfolio management risk analytics data insight trading and operations on one platform,PARTIAL: market_regime risk gate order_sizer capital scenarios operating status,institutional_control_tower,reports/market_regime/market_regime.csv; reports/pre_buy_decision/pre_buy_decision.csv; reports/orders,broker execution; enterprise operations; private risk model,READY_FOR_SPEC,one report reconciles candidate risk market regime sizing blockers and no-order state,Create institutional_control_tower report that merges all gate outputs,NO,NO_ORDER,NO
FACTOR_RISK_MODEL,P0,Factor risk and attribution model,MSCI Barra PortfolioManager,https://www.msci.com/data-and-analytics/portfolio-management/barra-portfolio-manager,Risk decomposition performance attribution factor exposure and optimizer workflow,PARTIAL: trend score sector regime no factor exposure decomposition,factor_risk_exposure,reports/company_research/company_research.csv; configs/fundamentals.actual.csv; data/prices.csv,proprietary Barra risk model; paid factor datasets,READY_FOR_SPEC,sector and style exposure report exists before any BUY_READY review,Create factor_risk_exposure report with sector momentum valuation quality and volatility exposures,NO,NO_ORDER,NO
ENTERPRISE_RISK_MANAGER,P1,Enterprise risk management,MSCI RiskMetrics RiskManager,https://www.msci.com/data-and-analytics/risk-management-solutions/riskmetrics-riskmanager,Consistent portfolio risk measurement monitoring and reporting across teams,PARTIAL: risk gate market regime loss rules,stress_risk_dashboard,reports/market_regime/market_regime.csv; reports/holding_watch; reports/performance_tracking,enterprise multi-asset VaR vendor model,RESEARCH_BACKLOG,stress scenarios and loss-defense status are visible without order path,Add stress_risk_dashboard for drawdown sector crash and position concentration,NO,NO_ORDER,NO
ALGO_BACKTEST_ENGINE,P1,Backtesting and algorithm research engine,QuantConnect LEAN,https://www.quantconnect.com/docs/v2/writing-algorithms/key-concepts/algorithm-engine,Open-source algorithmic trading engine for research backtesting and live trading,PARTIAL: run_backtest alpha_research trend reports local tests,backtest_lab,reports/learning_feedback; data/prices.csv; configs/portfolio.yaml,live trading deployment; brokerage integration,RESEARCH_BACKLOG,walk-forward backtest output is linked to learning feedback and model promotion gate,Add backtest_lab report for factor and rebound strategies without live trading,NO,NO_ORDER,NO
AI_QUANT_RESEARCH_PLATFORM,P1,AI quant research platform,Microsoft Qlib,https://github.com/microsoft/qlib,AI-oriented quant platform from idea exploration to production modeling,PARTIAL: ridge alpha forecast learning feedback no dependency ML,model_comparison_lab,reports/learning_feedback; data/prices.csv; feature outputs,installing ML libraries without approval; RL/live trading,RESEARCH_BACKLOG,baseline ridge vs candidate feature/model comparison with out-of-sample metrics,Create model_comparison_lab using existing numpy/pandas before external ML dependencies,NO,NO_ORDER,NO
MODEL_REGISTRY_AND_LINEAGE,P0,Model registry and experiment lineage,MLflow Model Registry,https://mlflow.org/docs/2.2.1/model-registry.html,Central model store lineage versioning stages and annotations,PARTIAL: models/registry run json for institutional trainer only,model_registry_audit,models/registry; reports/learning_feedback; reports/alpha/buy_timing_report.csv,MLflow server/database install without approval,READY_FOR_SPEC,every alpha/rebound/factor report has version source inputs and promotion state,Create local CSV/JSON model_registry_audit without installing MLflow,NO,NO_ORDER,NO
ORDER_MANAGEMENT_SYSTEM,P2,Order management system,SS&C Eze OMS,https://www.ssctech.com/solutions/trade-order-management,Investment lifecycle from idea generation through compliance execution settlement portfolio and accounting,PARTIAL: order_sizer review-only capital scenarios no broker routing,review_only_order_workbench,reports/orders; reports/pre_buy_decision; configs/capital.actual.csv,actual OMS; broker routing; settlement; account integration,RESEARCH_BACKLOG,order candidates stay review-only and show all blockers before any manual decision,Improve review_only_order_workbench with compliance checklist and blocker reconciliation,NO,NO_ORDER,NO
EXECUTION_MANAGEMENT_SYSTEM,P2,Execution management system,FlexTRADER EMS,https://s44885.pcdn.co/products/flextrader-execution-management-system/,Broker-neutral multi-asset execution workflow algorithmic trading and broker connectivity,NONE: no broker execution by design,execution_risk_review,reports/orders; data/prices.csv,broker connectivity; FIX; live execution; algorithmic order routing,RESEARCH_BACKLOG,execution-risk notes exist but no order route exists,Add execution_risk_review for liquidity slippage gap risk and manual-only execution notes,NO,NO_ORDER,NO
PORTFOLIO_WORKBENCH,P1,Portfolio construction workbench,Enfusion Portfolio Workbench,https://www.businesswire.com/news/home/20231010107755/en/Enfusion-Launches-Portfolio-Workbench-Empowering-Portfolio-Managers-to-Seamlessly-Rebalance-Multi-Asset-Portfolios,Portfolio rebalancing benchmark risk compliance order handoff workflow,PARTIAL: capital scenarios order_sizer holdings board,portfolio_workbench,reports/pre_buy_decision; reports/orders; configs/holding_watch.actual.csv,automatic order proposal execution; live compliance routing,RESEARCH_BACKLOG,what-if portfolio changes show risk and no-order blockers,Create portfolio_workbench report for candidate add/remove and capital scenario deltas,NO,NO_ORDER,NO
